Date : 2023-11-18 20:15:18
Directory : /Users/brian/Dev/Web/RukusRummy
Total : 199 files,  34028 codes, 368 comments, 1702 blanks, all 36098 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         10 |     19,469 |          0 |          8 |     19,477 |
| CSS                |          7 |      3,786 |         13 |          8 |      3,807 |
| Less               |          1 |      3,620 |          2 |        269 |      3,891 |
| C#                 |         76 |      3,450 |        233 |        760 |      4,443 |
| ASP.NET Razor      |         25 |        965 |          2 |         99 |      1,066 |
| TypeScript JSX     |         24 |        943 |         28 |        196 |      1,167 |
| SCSS               |         19 |        727 |         10 |        113 |        850 |
| XML                |          8 |        463 |          1 |         20 |        484 |
| Markdown           |          4 |        233 |          0 |        128 |        361 |
| TypeScript         |         12 |        225 |         13 |         57 |        295 |
| Properties         |          2 |         58 |         18 |         14 |         90 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Docker             |          1 |         22 |         15 |         15 |         52 |
| HTML               |          2 |         21 |         23 |          1 |         45 |
| JavaScript         |          4 |          9 |          3 |          2 |         14 |
| Ignore             |          1 |          7 |          6 |          6 |         19 |
| Shell Script       |          1 |          2 |          1 |          3 |          6 |
| Batch              |          1 |          2 |          0 |          2 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |        199 |     34,028 |        368 |      1,702 |     36,098 |
| . (Files)                                                                                                                               |          5 |        111 |         39 |         52 |        202 |
| RukusRummy.Api                                                                                                                          |         11 |        518 |         45 |        107 |        670 |
| RukusRummy.Api (Files)                                                                                                                  |          5 |         82 |          1 |         26 |        109 |
| RukusRummy.Api/Controllers                                                                                                              |          3 |        317 |         34 |         66 |        417 |
| RukusRummy.Api/Extensions                                                                                                               |          1 |         37 |          0 |          5 |         42 |
| RukusRummy.Api/Hubs                                                                                                                     |          1 |         41 |         10 |          9 |         60 |
| RukusRummy.Api/Properties                                                                                                               |          1 |         41 |          0 |          1 |         42 |
| RukusRummy.BusinessLogic                                                                                                                |         23 |        673 |          6 |        152 |        831 |
